,proj_id,location,size,complexity,price,task_id,task_name,duration
0,11369,Outer Banks,2577,medium,10255.0,0,00000 START,1
1,11369,Outer Banks,2577,medium,10255.0,252,252 Site Plan,1
2,11369,Outer Banks,2577,medium,10255.0,260,260 Plan Review/Permit Allocation,0
3,11369,Outer Banks,2577,medium,10255.0,420,420 House placement survey,1
4,11369,Outer Banks,2577,medium,10255.0,900,900 Bldg Stakeout,1
5,11369,Outer Banks,2577,medium,10255.0,901,901 Engineering Allocation,0
6,11369,Outer Banks,2577,medium,10255.0,1020,1020 Install Construction Entrance,1
7,11369,Outer Banks,2577,medium,10255.0,1060,1060 Foundation Excavation,1
8,11369,Outer Banks,2577,medium,10255.0,1181,1181 Pump Truck Allowance,1
9,11369,Outer Banks,2577,medium,10255.0,2230,2230 Receive Dumpster Allocation,1
10,11369,Outer Banks,2577,medium,10255.0,2240,2240 Receive Portable Toilet Allocation,1
11,11369,Outer Banks,2577,medium,10255.0,2340,2340.1 Dirt/Haul Allowance,0
12,11369,Outer Banks,2577,medium,10255.0,10300,10300.1 Driveway/Curb Repair Allowance,0
13,11369,Outer Banks,2577,medium,10255.0,1,1 START  CONSTRUCTION,1
14,11369,Outer Banks,2577,medium,10255.0,980,980 Install Silt Fence,1
15,11369,Outer Banks,2577,medium,10255.0,1100,1100 Form Footings,1
16,11369,Outer Banks,2577,medium,10255.0,1140,1140 Footing Inspection,1
17,11369,Outer Banks,2577,medium,10255.0,1180,1180 Pour Footings,2
18,11369,Outer Banks,2577,medium,10255.0,1780,1780 Order Steel,1
19,11369,Outer Banks,2577,medium,10255.0,1190,1190 Capillary Break,1
20,11369,Outer Banks,2577,medium,10255.0,1195,1195 Pin Footings,1
21,11369,Outer Banks,2577,medium,10255.0,1580,1580 Form Foundation Walls,1
22,11369,Outer Banks,2577,medium,10255.0,1820,1820 Foundation Wall Inspection,1
23,11369,Outer Banks,2577,medium,10255.0,1860,1860 Foundation Wall Pour,1
24,11369,Outer Banks,2577,medium,10255.0,1900,1900 Strip Foundation Forms,1
25,11369,Outer Banks,2577,medium,10255.0,1940,1940 Install Perimeter Drain/Croc,1
26,11369,Outer Banks,2577,medium,10255.0,2060,2060 Waterproof Foundation Walls,1
27,11369,Outer Banks,2577,medium,10255.0,3100,3100 Foundation Survey,1
28,11369,Outer Banks,2577,medium,10255.0,3020,3020 Termite & Pest PreTreatment,1
29,11369,Outer Banks,2577,medium,10255.0,2340,2340 Backfill & Compact,1
30,11369,Outer Banks,2577,medium,10255.0,2020,2020 Install Underground Plumbing,1
31,11369,Outer Banks,2577,medium,10255.0,2344,2344 Meter Pit Install,1
32,11369,Outer Banks,2577,medium,10255.0,2140,2140 Underground Plumbing Inspection,1
33,11369,Outer Banks,2577,medium,10255.0,2420,2420 Slab Inspection,1
34,11369,Outer Banks,2577,medium,10255.0,2380,2380 Pour Basement Slab,1
35,11369,Outer Banks,2577,medium,10255.0,2700,2700 Pour Garage Slab,1
